feature_set,fold,subset,n,spearman,rmse,r2
mutation_only,1,all,9799,0.23580288925944207,1.024674919572076,-0.04995869080003801
mutation_only,1,IDR,441,0.12426726287794984,1.0074916870559865,-0.22501406957178882
mutation_only,1,ordered,9358,0.24026413393318327,1.0254775831530702,-0.04489343520325839
mutation_only,2,all,9778,0.21836430353394842,1.0435556186926254,-0.08900832930494862
mutation_only,2,IDR,2337,0.06169874206386955,1.0509866400822911,-0.3796899014982791
mutation_only,2,ordered,7441,0.26387844908096597,1.0412108087792054,-0.021686562731316084
mutation_only,3,all,9730,0.22875934946467955,1.0451954670594779,-0.0924335643616796
mutation_only,3,IDR,2097,0.3287684983077715,0.92598048169854,0.07519110834002485
mutation_only,3,ordered,7633,0.19160907026941748,1.075636069050615,-0.13657867017487924
mutation_only,4,all,9815,0.1617256765725371,1.074368773468799,-0.1542682614048505
mutation_only,4,IDR,1595,-0.0894378655282582,1.206273044295189,-0.45421268393886227
mutation_only,4,ordered,8220,0.2013505824926021,1.046850624291673,-0.09603867363705265
mutation_only,5,all,9584,0.1956390447674196,1.0269487691275034,-0.05462377441249444
mutation_only,5,IDR,5343,0.18441778565556152,1.008334726098557,-0.018166874095289387
mutation_only,5,ordered,4241,0.20857045930814966,1.049929900218637,-0.10042052398724644
mutation_plus_region,1,all,9799,0.24883710245883386,1.0111688234537026,-0.022462389524742887
mutation_plus_region,1,IDR,441,0.1892767682645421,1.0079853446960054,-0.22621484515943768
mutation_plus_region,1,ordered,9358,0.25090190487718617,1.0113185990837747,-0.016238507063870422
mutation_plus_region,2,all,9778,0.2143291092286377,1.0369259527764112,-0.07521543154126831
mutation_plus_region,2,IDR,2337,0.07721492763329159,1.0225149690834463,-0.30594968165470227
mutation_plus_region,2,ordered,7441,0.25309650735240485,1.0414108700884026,-0.02207922017707009
mutation_plus_region,3,all,9730,0.2424731214174451,1.0456522241468245,-0.09338857386320054
mutation_plus_region,3,IDR,2097,0.2237937857235415,0.9786401208884886,-0.03298583072380157
mutation_plus_region,3,ordered,7633,0.23785803971691064,1.0633231030589398,-0.11070643426213622
mutation_plus_region,4,all,9815,0.16781204311901632,1.0597544579365772,-0.12307951111644733
mutation_plus_region,4,IDR,1595,-0.10935382055845252,1.1634754477015787,-0.3528546171618385
mutation_plus_region,4,ordered,8220,0.21778862378497002,1.038429095575947,-0.07847514799406441
mutation_plus_region,5,all,9584,0.16786523626564645,1.0466617971979786,-0.0955009177137025
mutation_plus_region,5,IDR,5343,0.17120235531025496,1.0351086882664293,-0.072954789480415
mutation_plus_region,5,ordered,4241,0.17358641673389721,1.0610378577219572,-0.12382796209834135
